category,topic,rule,implementation,avoid
Lists,Large list virtualization,Virtualize lists with more than 50 items,Use FlashList (Shopify) or FlatList with getItemLayout and keyExtractor,ScrollView with .map() for large datasets — causes jank and memory issues
Lists,FlatList key extractor,Always provide stable keyExtractor returning unique string IDs,keyExtractor={(item) => item.id.toString()},Using index as key for mutable lists — causes incorrect re-renders
Lists,FlatList item separation,Use ItemSeparatorComponent instead of margin on list items,ItemSeparatorComponent={() => <View style={styles.separator} />},Adding marginBottom to list items — double spacing at list end
Navigation,Tab bar top-level,Use React Navigation Bottom Tab for top-level screens,@react-navigation/bottom-tabs with 3-5 items including icon + label,Nesting tab bars within tabs — breaks back stack and user mental model
Navigation,Stack navigation,Use Stack.Navigator for detail/drill-down screens,@react-navigation/native-stack (native performance) over JS stack,Manually managing screen visibility with state — breaks back gesture
Navigation,Safe area insets,Always respect safe area insets on every screen,Use SafeAreaProvider + useSafeAreaInsets or SafeAreaView,Hardcoding padding for notch — breaks on different device models
Navigation,Deep linking,Configure deep linking for all key screens,expo-linking or React Navigation linking config in app entry,No deep link config — push notifications with no screen target
Touch Targets,Minimum size,All interactive elements must be at least 44x44pt,Use minWidth: 44 minHeight: 44 or hitSlop on smaller elements,Icon buttons < 44pt without hitSlop — causes misses on mobile
Touch Targets,hitSlop extension,Extend tap area without changing visual size,hitSlop={{ top: 8 bottom: 8 left: 8 right: 8 }},Relying only on visual bounds for small interactive elements
Gesture,Press feedback,All pressable elements must show pressed state immediately,Use Pressable with style={({pressed}) => pressed && styles.pressed},TouchableOpacity alone with no visual change — user doubts tap registered
Gesture,Avoid gesture conflicts,Keep one gesture type per interaction region,Use ScrollView horizontal={false} for vertical lists; horizontal swipe in separate container,Horizontal swipe lists inside vertical ScrollViews — gesture conflicts
Gesture,Swipe actions,Swipe-to-delete or swipe actions need clear affordance,Use react-native-gesture-handler Swipeable with action labels visible,Hidden swipe actions with no visual hint — users never discover them
Performance,Image optimization,Use expo-image or FastImage for optimized image loading,expo-image with contentFit="cover" and placeholder shimmer,Plain <Image> from React Native — no caching or optimization
Performance,Avoid inline styles,Never create objects in render — causes reconciliation on every frame,Extract styles to StyleSheet.create outside component,style={{ marginTop: 8 }} inline in JSX — new object every render
Performance,Memo expensive components,Wrap pure list item components in React.memo,export default React.memo(ListItem),Wrapping every component in memo — overhead without benefit; profile first
Performance,Avoid anonymous functions in props,Extract callbacks to useCallback or top-level functions,const handlePress = useCallback(() => { ... } [dep]) passed as prop,onPress={() => doSomething()} inline in FlashList renderItem — new ref every render
Accessibility,Accessible labels,All interactive elements need accessibilityLabel,accessibilityLabel="Close dialog" on icon-only Pressable,Icon-only buttons without accessibilityLabel — screen reader says "button" only
Accessibility,Accessibility role,Set accessibilityRole matching the element's function,accessibilityRole="button" "link" "checkbox" "header" as appropriate,No accessibilityRole on custom interactive components
Accessibility,Reduce motion,Respect system reduceMotion preference,Use useReduceMotion() from react-native-reanimated; provide no-motion fallback,Skipping animation preference check — forces animation on users who need reduced motion
Accessibility,Dynamic Type,Support system text scale changes,Use scaledFontSize or avoid maxFontSizeMultiplier={1} unless layout-critical,Hardcoding pixel font sizes and capping scaling — fails accessibility audit
Layout,Safe area bottom,Floating CTAs and tab bars need bottom safe area,Add paddingBottom: insets.bottom to fixed bottom elements,Fixed bottom buttons overlapping the home indicator on iPhone
Layout,Keyboard avoidance,Form screens must handle software keyboard,KeyboardAvoidingView with behavior="padding" (iOS) or "height" (Android),Content hidden behind keyboard with no scrolling adjustment
Layout,Avoid absolute everywhere,Use flexbox for layout instead of absolute positioning,Flex-based layouts with proper gap and padding,Absolute positioning for multiple layout elements — breaks on different screen sizes
Forms,Input type,Use correct keyboard type for each field,keyboardType="email-address" "numeric" "phone-pad" "url" as appropriate,keyboardType="default" for email/phone — shows wrong keyboard on mobile
Forms,Auto-focus sparingly,Only autoFocus the first field in a single-input screen or primary search,autoFocus={true} only on login email or search bar; never inside lists,autoFocus on multiple fields or inside modal lists — keyboard fights focus
Forms,Return key,Set returnKeyType to guide form submission,returnKeyType="next" between fields "done" or "send" on last field,Default return key type — users unsure when to submit
