heading_font,body_font,mono_font,keywords,heading_weight,body_weight,scale,when_to_use,vibe
Inter,Inter,JetBrains Mono,modern clean minimal saas professional dashboard,700,400,12 14 16 18 24 32 48,SaaS dashboards productivity tools developer products,Modern neutral professional
Playfair Display,Lato,Fira Code,editorial luxury premium serif elegant,700,400,13 16 18 24 36 52,Luxury brands editorial journalism high-end products,Elegant sophisticated editorial
Space Grotesk,Space Grotesk,Space Mono,tech startup geometric modern bold,700,400,12 14 16 18 24 32 48,Tech startups AI tools fintech modern SaaS,Geometric bold technical
Raleway,Open Sans,Source Code Pro,professional clean corporate friendly,600,400,12 14 16 18 24 32,Corporate B2B professional services clean,Friendly professional clean
Poppins,Poppins,Roboto Mono,friendly rounded consumer mobile playful,700,400,12 14 16 20 28 40,Consumer apps social platforms mobile-first,Friendly approachable modern
Sora,Sora,JetBrains Mono,geometric minimal futuristic clean,700,400,12 14 16 18 24 32,AI products fintech crypto SaaS minimalist,Futuristic geometric precise
Merriweather,Source Sans 3,Courier Prime,editorial blog journal content serif,700,400,14 16 18 20 24 32,Blogs editorial news journalism long-form,Readable literary focused
DM Serif Display,DM Sans,DM Mono,elegant premium brand editorial modern,700,400,14 16 20 24 36 56,Premium brands portfolios editorial marketing,Elegant modern premium
Nunito,Nunito,Fira Code,rounded friendly kids education playful,800,400,13 15 17 21 28 40,Kids apps education social friendly consumer,Playful warm rounded
Bebas Neue,Roboto,Roboto Mono,bold impact display condensed sporty,400,400,12 14 16 18 24 36,Sports fitness gaming entertainment bold brands,Bold impactful athletic
Bricolage Grotesque,Bricolage Grotesque,JetBrains Mono,quirky creative agency display bold variable,700,400,12 14 16 20 28 42,Creative agencies experimental brands portfolios,Creative bold distinctive
Lora,Inter,Source Code Pro,warm readable content editorial classic,700,400,14 16 18 20 26 36,Content-heavy apps blogs news readable,Warm literary trustworthy
Outfit,Outfit,JetBrains Mono,geometric modern variable clean friendly,700,400,12 14 16 18 24 32,Modern SaaS products startups clean apps,Clean variable modern
Clash Display,Cabinet Grotesk,Fira Code,editorial display strong modern magazine,700,400,14 16 20 24 36 56,Magazine editorial creative premium brands,Strong editorial modern
Plus Jakarta Sans,Plus Jakarta Sans,Source Code Pro,modern geometric clean friendly professional,700,400,12 14 16 18 24 32,Startups products e-commerce professional,Friendly geometric modern
Libre Baskerville,Libre Franklin,Courier Prime,classic serif traditional trustworthy finance,700,400,14 16 18 20 24 32,Finance legal banking traditional trustworthy,Classic traditional trustworthy
Anton,Roboto,Roboto Mono,bold condensed sporty strong impactful,400,400,12 14 16 18 24 32,Fitness sports gaming entertainment bold,Bold aggressive impactful
Cormorant Garamond,Proza Libre,IM Fell English,luxury elegant fashion serif refined,600,400,14 16 18 22 30 48,Luxury fashion beauty cosmetics refined,Refined elegant luxurious
Work Sans,Work Sans,JetBrains Mono,professional workspace product neutral variable,600,400,12 14 16 18 24 32,Workspace tools B2B SaaS professional,Professional neutral efficient
Satoshi,Satoshi,Fira Code,modern geometric startup bold clean variable,700,400,12 14 16 18 24 32,Startups SaaS fintech crypto modern products,Bold modern distinctive
