type,keywords,use_for,avoid_when,accessibility,library_suggestion
Line Chart,trend timeline time-series growth rate continuous,Showing change over time — revenue growth DAU temperature,Comparing discrete unrelated categories; few data points,aria-label for each series; tooltip on hover/tap showing exact value; axis labels readable,Recharts Victory Nivo Chart.js
Bar Chart,comparison categories discrete count vertical horizontal,Comparing quantities across discrete categories,Trends over continuous time (use line); many categories > 12,aria-sort on sortable columns; pattern fill supplement for color-blind; tooltip on hover,Recharts Victory Chart.js
Stacked Bar Chart,composition stacked proportion part-of-whole category,Part-to-whole within each category across multiple groups,When individual values matter more than totals; too many segments,Legend always visible; pattern texture to differentiate segments,Recharts Victory Nivo
Grouped Bar Chart,comparison group multi-series side-by-side,Comparing multiple metrics across the same categories,Too many groups causes crowding — limit to 3-4 per cluster,Direct labels on bars for small datasets; tooltip on hover,Recharts Chart.js
Pie Chart,proportion share composition circular,Showing part-to-whole when few categories (≤ 5),More than 5 slices; comparing similar values; showing trends,Always include legend with values; label slices directly when possible,Recharts Chart.js Victory
Donut Chart,proportion share donut ring composition,Same as pie but leaves center for KPI or label,Same as pie — avoid with many slices,Center text must have accessible description; keyboard navigable segments,Recharts Chart.js Nivo
Area Chart,trend fill cumulative volume time smooth,Showing volume or magnitude over time; emphasizing total,Comparing multiple series with overlapping fills — causes confusion,Use transparency for overlapping areas; tooltip on hover,Recharts Chart.js
Stacked Area Chart,cumulative stacked composition time trend,Showing cumulative totals over time with part breakdown,Negative values; hard to read individual series in stack,Pattern fill for accessibility; interactive legend to toggle series,Recharts Nivo
Scatter Plot,correlation relationship distribution two-variables,Showing correlation or distribution between two numeric variables,Categorical data; showing trends (add regression line if trend needed),Keyboard-navigable points; tooltip with exact values; accessible color scheme,Recharts Visx D3
Bubble Chart,three-variable scatter size correlation,Scatter with third dimension encoded as bubble size,When size differences are subtle — perception is poor,Label bubbles or tooltip; ensure minimum bubble size for touch targets,Recharts Visx D3
Histogram,distribution frequency bucket range,Showing frequency distribution of a continuous variable,Categorical data; precise comparisons between groups,Axis labels with bin ranges; tooltip on hover; no gaps between bars,Recharts Chart.js Nivo
Heatmap,matrix density correlation grid two-variable,Showing patterns across two categorical dimensions,When exact values matter more than patterns; small datasets,Color scale legend; value labels in cells; accessible palette (not red/green),Nivo Visx D3
Funnel Chart,funnel conversion pipeline stage drop-off,Showing progressive reduction through conversion stages,Equal-stage data; non-sequential data,Label each stage with count and percentage; tooltip,Recharts Chart.js Nivo
Waterfall Chart,bridge cumulative delta change variance,Showing incremental changes contributing to a total,Non-sequential data; too many steps > 10,Color-encode increase/decrease with pattern supplement; legend,D3 Nivo
Gauge / Radial,gauge speedometer single-value progress,Showing a single KPI against a range or target,Multiple values comparison; precise readings needed,aria-valuenow aria-valuemin aria-valuemax on progress element,Recharts Nivo Victory
Treemap,hierarchy proportional nested area part-of-whole,Showing hierarchical data with size = value,Too many levels > 3; small segments become unreadable,Interactive drill-down with back-path; tooltip; keyboard nav,Nivo D3 Recharts
Sankey Diagram,flow relationship source-destination network path,Showing flow volume between nodes — budget allocation user journey,When exact values needed; too many nodes causes spaghetti,Interactive hover highlight; tooltip per link; keyboard nav,D3 Visx
Network Graph,network relationship node edge connection graph,Showing relationships connections between entities,Dense graphs > 50 nodes become unreadable,Keyboard-focusable nodes; tooltip; avoid color-only distinction,D3 Cytoscape Visx
Radar / Spider,comparison multi-axis profile performance,Comparing profiles across multiple attributes simultaneously,More than 7 axes; precise value comparison,Legend; value labels; tooltip; avoid red/green only,Recharts Chart.js Nivo
Candlestick Chart,finance stock ohlc trading price range,Financial open-high-low-close data visualization,Non-financial data; beginners without context labels,Color + shape encoding; tooltip with OHLC values; legend,Recharts Lightweight-charts Nivo
Timeline Chart,event sequence chronological time gantt,Showing events or tasks over a time axis (project schedule),Non-temporal data; too many overlapping events,Group overlapping events; tooltip with details; keyboard nav,Vis.js D3 Nivo
Calendar Heatmap,calendar activity daily frequency habit github-style,Showing activity frequency over days/weeks/months,Non-temporal data; fine-grained precision comparisons,Color scale legend with labels; tooltip with date and value; keyboard nav,Cal-heatmap Nivo D3
Box Plot / Violin,distribution statistics quartile outlier range,Showing distribution spread and outliers in data,General audiences unfamiliar with statistics,Explain quartile meaning in tooltip/legend; keyboard navigable,D3 Visx
KPI / Stat Card,kpi single number metric summary tile,Showing one important number with context,Complex relationships; requiring trend context (add sparkline),aria-label describing metric; visible label; units explicit,Recharts sparkline for trend supplement
Sparkline,mini trend inline small compact contextual,Compact trend inline within table or card,Detailed analysis — use full chart with axes,aria-label with trend description; visible but compact; no axes required,Recharts Victory Chart.js
