category,rule,implementation,avoid,impact
Bundle,Route-level code splitting,Use React.lazy + Suspense or Next.js dynamic() per route,Importing all pages at root level — large initial bundle,High — reduces initial JS parse and execute time
Bundle,Avoid barrel re-exports on large modules,Import directly from source file not from index barrel,import { x } from './ui/index' where ui has 100 exports,High — tree-shaking breaks with barrel re-exports
Rendering,Memoize expensive pure components,Wrap with React.memo for stable-prop list items and pure displays,Memoizing every component blindly — overhead without benefit,Medium — profile first
Rendering,Stabilize callback references in lists,useCallback for handlers passed to list renderItem,Inline arrow function in FlatList renderItem — new ref every render,High — avoids full list re-render
Rendering,Stabilize object/array props,useMemo for objects and arrays passed as props,Inline object prop — new reference every render breaks memo,High
State,Colocate state close to usage,Keep state in the lowest component that needs it,Lifting all state to root provider — unnecessary re-renders,Medium
State,Split large context into focused slices,Separate context per data domain (auth user settings theme),Single large context — every consumer re-renders on any change,High
Data,Deduplicate and cache API responses,Use React Query SWR or Apollo client-side cache,Fetching same data in multiple components independently,High — reduces network and re-renders
Data,Paginate and virtualize data lists,Server-side pagination + FlashList or react-window client-side,Loading all records at once — memory and render time,High
Images,Use next/image or expo-image,Built-in optimization lazy loading and format selection,Plain img or Image with no optimization,High — LCP and CLS improvement
Images,Preload LCP image,Add priority prop or rel=preload for above-fold hero image,Hero image loaded with normal priority — delayed LCP,High — Core Web Vital
Fonts,Subset and preload critical fonts,Only load weights and characters actually used; preload one variant,Loading all font weights eagerly — extra network requests,Medium
