id,priority,category,rule_name,do,dont,reference
a11y-01,1,accessibility,color-contrast,Minimum 4.5:1 ratio for normal text (large text 3:1),Low-contrast gray text on white or dark backgrounds,WCAG 2.1 AA
a11y-02,1,accessibility,focus-states,Visible focus rings on interactive elements (2-4px ring or equivalent),Remove focus rings with outline:none without replacement,Apple HIG Material Design WCAG
a11y-03,1,accessibility,alt-text,Descriptive alt text for meaningful images; alt="" for decorative,Omit alt attribute entirely; use filename as alt text,WCAG
a11y-04,1,accessibility,aria-labels,aria-label for icon-only buttons; accessibilityLabel in native apps,Icon-only controls with no label — screen reader says button only,Apple HIG WCAG
a11y-05,1,accessibility,keyboard-nav,Tab order matches visual order; all interactive elements keyboard reachable,Trapping focus; skip links absent; custom widgets not keyboard-operable,WCAG 2.1 AA
a11y-06,1,accessibility,form-labels,Use label with htmlFor or wrap input; visible labels always,Placeholder as only label — disappears on focus,WCAG
a11y-07,1,accessibility,color-not-only,Supplement color with icon or text for status/error/success,Red border alone to indicate error — fails for colorblind users,WCAG
a11y-08,1,accessibility,reduced-motion,Respect prefers-reduced-motion; reduce or disable animation,Ignoring reduced-motion preference and forcing full animation,Apple Reduced Motion WCAG 2.3
a11y-09,1,accessibility,heading-hierarchy,Sequential h1 through h6; never skip levels,Jump from h1 to h4; use headings purely for styling,WCAG
a11y-10,1,accessibility,dynamic-type,Support system text scaling; avoid truncation as text grows,Capping font size scaling with maxFontSizeMultiplier=1 everywhere,Apple Dynamic Type
touch-01,2,touch,touch-target-size,Minimum 44x44pt (Apple) or 48x48dp (Material); use hitSlop if icon is smaller,Small 24pt icon buttons with no expanded hit area,Apple HIG Material Design
touch-02,2,touch,touch-spacing,Minimum 8px gap between adjacent touch targets,Two buttons touching with no gap — causes mis-taps,Apple HIG Material Design
touch-03,2,touch,tap-feedback,Provide pressed feedback (ripple/opacity/elevation) within 80-150ms,No visual change on tap — user doubts action registered,Material Design Apple HIG
touch-04,2,touch,hover-vs-tap,Primary interactions on tap/click; don't rely on hover alone for key actions,Hover-only tooltips or menus with no tap alternative on mobile,Apple HIG
touch-05,2,touch,loading-buttons,Disable button during async; show spinner or progress indicator,No loading state — user taps multiple times; duplicate submissions,Material Design
touch-06,2,touch,gesture-conflicts,One primary gesture per region; avoid nested tap/drag conflicts,Horizontal swipe list inside vertical scrollview — gesture fights,Apple HIG Material Design
touch-07,2,touch,safe-area-awareness,Keep tap targets away from notch Dynamic Island home indicator edges,Primary button overlapping home indicator on iPhone,Apple HIG
touch-08,2,touch,standard-gestures,Use platform standard gestures consistently,Redefining swipe-back or pinch-zoom to do something unexpected,Apple HIG Material Design
perf-01,3,performance,image-optimization,Use WebP/AVIF responsive images with srcset/sizes; expo-image in React Native,Large unoptimized PNG/JPG with no lazy loading,Core Web Vitals
perf-02,3,performance,image-dimension,Declare width and height or use aspect-ratio to prevent layout shift,Images without dimensions — causes CLS during load,Core Web Vitals CLS
perf-03,3,performance,font-loading,Use font-display: swap to avoid invisible text (FOIT),No font-display — text invisible until font loaded (FOIT),Material Design
perf-04,3,performance,lazy-loading,Lazy load non-hero components via dynamic import or route-level splitting,Import all components eagerly at root — large initial bundle,React Next.js
perf-05,3,performance,virtualize-lists,Virtualize lists with 50+ items (FlashList react-window content-visibility),ScrollView with .map() over large arrays — causes jank and memory pressure,Material Design Apple HIG
perf-06,3,performance,reduce-reflows,Avoid reading layout properties (getBoundingClientRect offsetHeight) during render,Interleaving DOM reads and writes in a loop — forces layout thrashing,Browser performance
perf-07,3,performance,main-thread-budget,Keep per-frame work under ~16ms for 60fps; move heavy tasks off main thread,Synchronous heavy computation in render or scroll handler,Material Design Apple HIG
perf-08,3,performance,progressive-loading,Use skeleton screens or shimmer for operations > 300ms,Long blocking spinner with no content preview,Apple HIG
perf-09,3,performance,debounce-throttle,Debounce/throttle high-frequency events (scroll resize input),Search triggering API on every keystroke — rate-limiting and lag,General
style-01,4,style,style-match,Match UI style to product type and audience expectations,Brutalism for a healthcare app; skeuomorphism for a SaaS dashboard,Design principles
style-02,4,style,consistency,Use one style consistently across all screens and components,Mixing glassmorphism on one screen and brutalism on another,Design principles
style-03,4,style,no-emoji-icons,Use SVG vector icons (Heroicons Lucide react-native-vector-icons),Emoji as navigation icons or status indicators,Apple HIG Material Design
style-04,4,style,elevation-consistent,Use a consistent elevation/shadow scale; define tokens (elevation-1 to elevation-5),Random shadow values on different cards in the same product,Material Design
style-05,4,style,dark-mode-pairing,Design light and dark together; verify contrast independently in both,Inverting light colors for dark mode without redesigning contrast ratios,Apple HIG Material Design
layout-01,5,layout,viewport-meta,width=device-width initial-scale=1 in meta tag; never disable zoom,user-scalable=no or maximum-scale=1 — fails accessibility,WCAG Apple HIG
layout-02,5,layout,mobile-first,Design for 375px first then scale up to tablet and desktop,Desktop-first design crammed onto mobile — usability failure,Responsive design principles
layout-03,5,layout,horizontal-scroll,No horizontal scroll on mobile; all content fits within viewport width,Content overflowing horizontally — broken on mobile,Apple HIG Material Design
layout-04,5,layout,spacing-scale,Use 4pt/8dp incremental spacing system consistently,Random spacing values — inconsistent visual rhythm,Material Design
layout-05,5,layout,fixed-element-offset,Fixed nav/bottom bar reserves padding so scroll content is not hidden,Scrollable content hidden behind fixed sticky element,Apple HIG
layout-06,5,layout,viewport-units,Use min-h-dvh instead of 100vh on mobile,100vh on mobile causes content cut off by browser UI chrome,CSS
typo-01,6,typography,line-height,1.5 to 1.75 for body text; 1.2 to 1.4 for headings,Line-height 1.0 or 1.1 on body text — too cramped to read,Typography principles
typo-02,6,typography,readable-font-size,Minimum 16px body text on mobile to avoid iOS auto-zoom,12px body text on mobile — triggers iOS auto-zoom and fails readability,Apple HIG
typo-03,6,typography,font-scale,Use a consistent type scale (e.g. 12 14 16 18 24 32),Arbitrary font sizes on every component — no visual rhythm,Typography principles
typo-04,6,typography,color-semantic,Define semantic color tokens (primary error surface on-surface),Raw hex values hardcoded in component styles,Material Design
typo-05,6,typography,weight-hierarchy,Bold headings (600-700) regular body (400) medium labels (500),All text same weight — no visual hierarchy,Material Design
typo-06,6,typography,number-tabular,Use tabular/monospaced figures for number columns prices and timers,Proportional figures in data tables — numbers shift as values change,Typography principles
anim-01,7,animation,duration-timing,150-300ms for micro-interactions; complex transitions ≤ 400ms,Animations longer than 500ms on interactive feedback,Material Design
anim-02,7,animation,transform-performance,Animate transform and opacity only (compositor properties),Animating width height top left margin — causes layout reflow per frame,Browser performance CSS
anim-03,7,animation,motion-meaning,Every animation expresses cause-effect or spatial relationship,Decorative animations that spin or pulse without semantic meaning,Apple HIG
anim-04,7,animation,spring-physics,Use spring/physics-based curves for natural feel,Linear easing for UI transitions — feels mechanical and cheap,Apple HIG fluid animations
anim-05,7,animation,interruptible,Animations must be cancellable; user tap stops in-progress animation,Animation locks UI for its duration — input blocked during transition,Apple HIG
anim-06,7,animation,no-blocking-animation,UI stays fully interactive during any animation,Blocking tap/input during page transition animation,Apple HIG
form-01,8,forms,input-labels,Visible label above or beside every input field,Placeholder as sole label — disappears on focus causing memory failure,WCAG Material Design
