name,keywords,primary,secondary,accent,background,surface,text_primary,text_secondary,product_fit,mood
Ocean Depth,saas blue navy professional calm trust,#0F4C81,#1A6DAF,#00B4D8,#F0F4F8,#FFFFFF,#1A202C,#4A5568,SaaS dashboards productivity tools,calm professional trustworthy
Midnight Pro,dark navy developer tool enterprise premium,#1E293B,#334155,#6366F1,#0F172A,#1E293B,#F1F5F9,#94A3B8,Developer tools dark dashboards analytics,professional focused premium
Coral Sunrise,consumer lifestyle warm friendly social,#FF6B6B,#FF8E53,#FFE66D,#FFF9F0,#FFFFFF,#2D3436,#636E72,Social apps lifestyle consumer mobile,warm energetic friendly
Forest Calm,wellness nature organic green earthy,#2D6A4F,#40916C,#B7E4C7,#F0FAF5,#FFFFFF,#1B4332,#52B788,Wellness health nature lifestyle,calm organic soothing
Electric Purple,gaming entertainment vivid neon dark,#7B2FBE,#9D4EDD,#E040FB,#0D0117,#1A0030,#F3E5F5,#CE93D8,Gaming entertainment streaming,electric bold immersive
Sunset Warmth,ecommerce retail warm conversion orange,#F77F00,#FCBF49,#EAE2B7,#FFFBF5,#FFFFFF,#1A1A2E,#4A4A6A,E-commerce retail lifestyle brands,warm inviting conversion-focused
Arctic Ice,fintech crypto minimal clean cold,#00B4D8,#48CAE4,#90E0EF,#F5FBFF,#FFFFFF,#03045E,#0077B6,Fintech crypto banking clean tech,crisp cold precise
Rose Gold,beauty luxury cosmetic feminine premium,#E8B4B8,#C9A0A3,#8B5E83,#FFF5F5,#FFFFFF,#2D1B1E,#6D4C50,Beauty cosmetics fashion premium lifestyle,elegant feminine luxurious
Slate Enterprise,enterprise admin b2b corporate neutral,#475569,#64748B,#3B82F6,#F8FAFC,#FFFFFF,#1E293B,#475569,Enterprise admin panels B2B corporate,neutral authoritative structured
Emerald Fresh,health food organic fresh vibrant,#059669,#10B981,#6EE7B7,#ECFDF5,#FFFFFF,#064E3B,#065F46,Health food apps nutrition organic,fresh natural energetic
Amber Craft,artisan handmade warm cozy restaurant,#D97706,#F59E0B,#FCD34D,#FFFBEB,#FFFFFF,#78350F,#92400E,Restaurant food craft artisan local,warm cozy authentic
Space Dark,dark mode developer ai futuristic,#6366F1,#818CF8,#C7D2FE,#020617,#0F172A,#F8FAFC,#94A3B8,AI tools developer apps dark SaaS,futuristic focused dark
Terracotta Warm,real estate home lifestyle earthy warm,#C1440E,#E07850,#F4C896,#FDF6F0,#FFFFFF,#3D1C0A,#7A3B1E,Real estate home lifestyle interior,earthy warm grounded
Sky Blue Clean,travel healthcare clean light friendly,#0EA5E9,#38BDF8,#BAE6FD,#F0F9FF,#FFFFFF,#0C4A6E,#075985,Travel healthcare kids education,fresh airy clean
Neon Night,gaming dark neon vivid electric purple,#FF0080,#7928CA,#00FFAA,#050010,#110022,#FFFFFF,#C084FC,Gaming DJ entertainment creative dark,electric immersive bold
Pastel Joy,kids education friendly soft playful,#FFB5E8,#B5EAEA,#B5EAD7,#FFF9FD,#FFFFFF,#444054,#7C7597,Kids education playful friendly,soft gentle joyful
Monokai Dark,code editor developer dark technical,#272822,#3E3D32,#F92672,#1B1D1E,#272822,#F8F8F2,#75715E,IDE code editors developer tools,technical focused dark
Warm Sand,luxury hotel spa premium neutral,#C8A882,#A08060,#7A5C40,#FAF7F4,#FFFFFF,#2D1F14,#5C4030,Luxury hospitality spa wellness premium,warm premium understated
Cyber Teal,tech startup modern clean teal vibrant,#00D4AA,#00B4D8,#0EA5E9,#F0FDFD,#FFFFFF,#134E4A,#0F766E,Tech startups SaaS modern clean,energetic modern innovative
Monochrome Editorial,editorial blog journalism clean minimal,#000000,#333333,#555555,#FFFFFF,#FAFAFA,#111111,#555555,Editorial journalism blog content,authoritative clean focused
Deep Maroon,finance banking trust premium dark,#7B0D1E,#9B2335,#C0392B,#FDF2F3,#FFFFFF,#2C0A0F,#6B2737,Finance banking legal premium trust,premium serious authoritative
Lavender Soft,mental health wellness calm soft purple,#9B8EC4,#B8ACDA,#D6D0EE,#F8F7FF,#FFFFFF,#2D2348,#5A4F7A,Mental health wellness calm apps,soothing soft mindful
Golden Premium,premium brand luxury gold dark,#C9A84C,#A8791E,#7A5500,#0A0A00,#1A1800,#F5E6C8,#C4A84A,Luxury premium fashion crypto prestige,premium gold exclusive
Mint Fresh,productivity clean green fresh minimal,#34D399,#10B981,#059669,#F0FDF4,#FFFFFF,#064E3B,#065F46,Productivity tools clean SaaS fresh,clean energetic productive
Ice Blue Dark,saas dark blue premium enterprise,#1D4ED8,#3B82F6,#93C5FD,#030712,#111827,#F9FAFB,#6B7280,Enterprise SaaS dark premium analytics,premium precise data-focused
