name,keywords,description,when_to_use,effects,anti_patterns
Glassmorphism,glass blur frosted transparent modern premium,Frosted glass surfaces with blur and translucency,SaaS apps music players fintech modern tools,backdrop-filter blur rgba background border semi-transparent,Avoid on text-heavy or data-dense interfaces — readability suffers
Claymorphism,clay bubbly soft 3d inflated playful rounded colorful,3D inflated soft shapes with pastel colors and bold outlines,Entertainment apps kids products consumer mobile,Exaggerated border-radius inner-shadow pastel fills,Do not use for serious enterprise or medical applications
Minimalism,minimal clean simple whitespace zen flat light,Maximum whitespace minimal color palette clean typography,Portfolios SaaS dashboards productivity tools professional,Generous padding monochromatic limited accent subtle shadows,Avoid empty-feeling UIs — balance whitespace with content density
Brutalism,brutalist bold raw unconventional stark high-contrast,Raw stark design with bold typography and deliberate ugliness,Creative agencies portfolios experimental projects,Oversized text high-contrast colors no border-radius system fonts,Not suitable for consumer apps or trust-sensitive products
Neumorphism,neumorphic soft ui tactile elevated inset skeuomorph light,Soft shadows creating extruded/inset appearance,Calculators toggles music players — single-surface UIs,box-shadow light-dark dual soft inner/outer elevation,Terrible accessibility — fails contrast requirements; avoid for text
Bento Grid,bento grid mosaic card layout modular dashboard,Magazine-style asymmetric card grid layout,Dashboards landing pages portfolios feature showcases,CSS grid mixed card sizes varied visual weight,Do not use for linear form flows or single-column mobile
Dark Mode,dark night low-light OLED power-saving professional,Dark background palette optimized for OLED/night use,Any product — offer as user preference; native for developer tools,Dark surface HSL desaturated elevated with opacity layer,Never just invert colors — redesign contrast ratios separately
Skeuomorphism,realistic texture material leather wood photorealistic depth,UI elements mimic real-world objects with texture and depth,Games specialty apps nostalgia products,CSS gradients textures inset shadows bevels,Feels dated in mainstream products — use purposefully or for nostalgia
Flat Design,flat material clean icon solid color simple,No gradients or shadows — purely flat color and shape,Icons infographics simple consumer apps,Solid fills no depth strong color icon-forward,Can feel lifeless without micro-interactions — add motion
Material Design,material google android elevation ripple ink,Google's design language with elevation and motion,Android apps cross-platform products Google ecosystem,Elevation layers dp shadows ripple state layers,Do not mix material and iOS HIG patterns on the same platform
Apple HIG,ios apple native cupertino system san francisco,Apple's design language for iOS and macOS,iOS apps iPadOS macOS — native feel required,SF Symbols system blur sheets tab bars,Do not replicate on Android — breaks platform conventions
Neon / Cyberpunk,neon cyberpunk dark glowing gamer rgb vivid electric,Dark background with glowing neon accent colors,Gaming apps creative tools DJ/music entertainment,glow text-shadow blur color-dodge saturated,Overused — ensure readability is not sacrificed for aesthetics
Retro / Vintage,retro vintage nostalgic 80s 90s pixel grain film,Deliberately aged aesthetic with warm tones and imperfections,Branding blogs lifestyle products nostalgia,grain noise CRT scan lines muted palette serif,Not suitable for modern SaaS or enterprise
Gradient Mesh,gradient mesh aurora colorful vibrant fluid organic,Smooth multi-color fluid gradient blobs,Landing pages hero sections creative portfolios,CSS mesh gradient multiple radial gradients blur,Reduces text readability on top — always overlay with contrast surface
Aurora / Glow,aurora glow radiant ethereal space cosmos ambient,Soft glowing orbs and blurred light halos,AI products crypto landing pages futuristic apps,radial-gradient blur opacity multiply,Ensure underlying text always passes 4.5:1 contrast
Claymorphism Dark,clay dark bubbly moody vibrant inflated dark,Dark-toned claymorphism with vivid saturated fills,Gaming entertainment night-mode consumer apps,Dark fills saturated inner-shadow glow,Same as claymorphism — validate contrast in dark context
Swiss / International,swiss grid typography modernist clean editorial,Strong typographic hierarchy on strict grid,Editorial news brands corporate identity,Baseline grid column system no-nonsense,Do not break the grid — consistency is the brand
Japandi,japandi wabi-sabi warm minimal organic neutral earth,Warm minimalism — earthy neutrals organic shapes,Lifestyle wellness home luxury real estate,Warm sand clay terracotta organic radius subtle,Do not go too cold — warmth differentiates from pure minimalism
Glassmorphism Dark,glass dark frosted blur dark-mode premium night,Glassmorphism adapted for dark background,Premium SaaS tools creative apps fintech night mode,Dark rgba blur border semi-transparent light border,Same readability caution — limit text on blurred glass to short labels
Brutalism Colorful,brutalism color bold pop art graphic playful,Colorful brutalism with vivid fills and stark borders,Creative agencies youth brands entertainment,Vivid fills bold borders oversized font unexpected layout,Not suitable for enterprise or trust-sensitive products
Aurora Dark,aurora dark cosmos space starfield ambient glow,Dark background with colorful glowing cloud blobs,AI startups crypto SaaS landing hero sections,Dark base colorful radial blurs blend overlay,Same as Aurora — validate all text contrast
Flat 3D / 2.5D,flat 3d isometric 2.5d illustration conceptual,Flat illustration aesthetic with pseudo-3D perspective,Landing pages onboarding screens marketing,Isometric projection flat palette no texture,Not a full UI system — supplement with flat design tokens
Windows Fluent,fluent acrylic windows microsoft transparent reveal,Microsoft Fluent Design with acrylic blur and reveal effects,Windows apps cross-platform Microsoft products,Acrylic transparency reveal highlight depth,Not suitable for iOS/Android native apps
Carbon Design,carbon ibm enterprise dark dense data analytics,IBM's design language for enterprise and data products,Enterprise dashboards analytics developer tools,Dense grid monospace data tokens high info density,Too technical for consumer-facing products
