pattern,keywords,description,sections,cta_position,social_proof,conversion_focus
Hero Centric,hero headline bold cta conversion landing,Single dominant hero with headline subheadline and CTA,Hero → Features → Social proof → Pricing → FAQ → Footer,Above the fold hero primary CTA; secondary CTA below features,Logos below hero; testimonials after features,Headline clarity and above-fold CTA
Problem-Solution,problem pain solution benefit feature saas,States user problem then presents product as solution,Pain point → Solution intro → Features → How it works → Proof → Pricing,Hero CTA; repeat CTA after each major section,Case study or metric after solution section,Resonance with problem and trust through proof
Feature Showcase,features product showcase detail benefit comparison,Highlights multiple product features with visual+text blocks,Hero → Feature 1 → Feature 2 → Feature 3 → Integration → Pricing → CTA,Hero CTA; sticky nav CTA; footer CTA,Logos or metric above features section,Feature benefit communication and depth
Social Proof First,testimonial review rating trust proof community,Leads with social proof before product explanation,Hero metric/logo strip → Testimonials → Features → Pricing,Hero CTA after social proof quote,Leading testimonials from recognizable brands or users,Trust building and credibility
Product Demo,demo interactive video gif animation product,Centers on product demonstration — video or interactive preview,Hero with demo → Key benefits → Features → Pricing → FAQ,CTA after demo section,Metric or quote beside demo,Product comprehension through visual experience
Pricing Focused,pricing plan tier comparison cta conversion,Pricing page optimized for tier selection and plan conversion,Brief hero → Plan comparison table → FAQ → Testimonial → CTA,CTA on each plan card; primary plan highlighted,User count or company logos,Plan selection and conversion confidence
Narrative / Story,story founder why mission brand purpose,Brand story-driven landing; builds emotional connection,Why we built it → Our mission → How it works → Team → CTA,CTA after mission section; soft CTA mid-story,Founder quote; user story,Trust and brand affinity through authenticity
Minimal Single CTA,minimal one-action waitlist email capture launch,Extremely focused page with one action — email capture or waitlist,Headline → 1-2 benefit bullets → Email form → Social proof count,Hero center; no competing actions,Subscriber count or beta user logos,Email capture rate — eliminate all friction
Comparison Page,comparison vs competitor alternative switch,Explicitly compares product to competitor,Hero comparison claim → Feature table → Migration path → Testimonials → CTA,CTA after comparison table; sticky nav,Competitor-switcher testimonials,Differentiation and migration confidence
How It Works,how-it-works steps process tutorial onboarding,Walks through product usage step by step,Hero → Step 1 → Step 2 → Step 3 → Result → Testimonial → Pricing,CTA after final result step,Before/after testimonial or case study result,Reducing anxiety through process clarity
